detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
HARRIS,SIFT,11,147,8.62329400,11.62411300,148,0.37735000,11.54790781,nan
HARRIS,SIFT,12,168,9.13258300,11.62551600,120,0.29819300,10.07826007,nan
HARRIS,SIFT,13,181,9.17538800,11.99797700,137,0.34481200,9.20565887,13.35505098
HARRIS,SIFT,14,144,8.74222800,11.47360600,138,0.31988600,9.54236248,nan
HARRIS,SIFT,15,243,10.66569000,12.46125100,127,0.37907300,8.39156690,nan
HARRIS,SIFT,16,213,9.94753900,12.70872400,188,0.49959600,8.88653053,6.60338365
HARRIS,SIFT,17,126,8.44310300,10.76682200,127,0.34115700,11.04299793,nan

FAST,BRISK,0,1864,0.70327900,14.09258400,0,0.00000000,0.00000000,0.00000000
FAST,BRISK,1,1898,0.69049200,13.69715800,1023,11.35423400,12.29943227,13.24183299
FAST,BRISK,2,1865,0.68143700,13.69829300,994,11.15428300,12.98777737,11.93806692
FAST,BRISK,3,1840,0.70335200,13.44539300,962,10.83684400,17.26938871,12.75691776
FAST,BRISK,4,1867,1.72368600,13.60918200,960,10.91912800,13.79866612,12.68392690
FAST,BRISK,5,1876,0.67383900,13.53605300,1016,11.13516600,12.85564709,11.85062326
FAST,BRISK,6,1843,0.67128700,13.24184900,969,10.98902200,13.34054193,12.04043152
FAST,BRISK,7,1829,0.69846600,13.18030200,917,10.63098600,14.45731022,11.45875138
FAST,BRISK,8,1843,0.69697300,13.49025100,925,10.62940100,13.13016586,11.57513057
FAST,BRISK,9,1818,0.68591100,13.19287800,927,10.36523400,12.34545830,12.06665866
FAST,BRISK,10,1879,0.73407900,13.46329500,956,10.45445300,12.14960324,11.39058865
FAST,BRISK,11,1849,0.70890200,13.33890300,954,10.85678600,11.54790781,12.38367648
FAST,BRISK,12,1826,0.68584900,13.08620800,965,10.64830500,10.07826007,12.61264842
FAST,BRISK,13,1842,0.73345100,13.21464800,966,10.56364200,9.20565887,12.77069053
FAST,BRISK,14,1833,0.70302100,13.19217100,998,10.67548400,9.54236248,12.30502778
FAST,BRISK,15,1921,0.72589400,13.94144100,1004,11.39173700,8.39156690,12.61353007
FAST,BRISK,16,1934,0.73278800,14.09415500,1037,11.75470900,8.88653053,12.19959015
FAST,BRISK,17,1946,0.71067100,14.00921800,1095,11.74736000,11.04299793,6.97050721

FAST,BRIEF,0,1864,0.67089200,3.38219300,0,0.00000000,0.00000000,0.00000000
FAST,BRIEF,1,1898,0.69587100,3.43235300,1305,10.42860800,12.29943227,10.39335036
FAST,BRIEF,2,1865,0.67888000,3.38724800,1333,10.09195500,12.98777737,12.42841601
FAST,BRIEF,3,1840,0.68972900,3.40595200,1308,9.97668900,17.26938871,12.78876110
FAST,BRIEF,4,1867,0.70331400,3.51015500,1252,9.69093000,13.79866612,12.66319080
FAST,BRIEF,5,1876,0.69732800,3.37711300,1284,9.69454400,12.85564709,16.22879379
